Valores
0.0096
0.0096
0.0096
0.0096
0.0096
0.0096
0.0096
0.0096
0.0096
0.0096
0.0096
0.0096
0.0096
0.0096
0.0095
0.0095
0.0095
0.0095
0.0095
0.0097
0.0098
0.01
0.0101
0.0101
0.0099
0.0095
0.009
0.009
0.0103
0.0135
0.0195
0.0288
0.0422
0.0602
0.0831
0.1112
0.1449
0.1847
0.2306
0.2818
0.3363
0.3923
0.4479
0.5014
0.5509
0.5955
0.6357
0.6717
0.7038
0.7325
0.758
0.7806
0.8008
0.819
0.8356
0.8509
0.8654
0.8794
0.893
0.9062
0.919
0.9315
0.9436
0.9554
0.9666
0.9769
0.9859
0.9932
0.9985
1.0015
1.0021
1.0001
0.9957
0.989
0.9798
0.9682
0.9544
0.9386
0.9213
0.9026
0.8828
0.8624
0.8414
0.8195
0.7962
0.7713
0.7444
0.7149
0.6827
0.6477
0.61
0.5694
0.5262
0.4803
0.4319
0.3817
0.3311
0.2813
0.2336
0.1891
0.1492
0.1143
0.0844
0.0595
0.0394
0.0242
0.0136
0.0073
0.0045
0.0043
0.0057
0.0079
0.0099
0.0111
0.0116
0.0114
0.0109
0.0103
0.0097
0.0093
0.0091
0.0091
0.0092
0.0094
0.0096
0.0097
0.0097
0.0097
0.0097
0.0097
0.0096
0.0096
0.0096
0.0096
0.0096
0.0096
0.0096
0.0096
0.0096
0.0096
0.0096
0.0096
0.0096
0.0096
