Valores
0.0096
0.0096
0.0095
0.0101
0.0135
0.1112
0.3363
0.5509
0.758
0.8794
0.9554
0.9985
0.989
0.9213
0.8195
0.6827
0.4803
0.2813
0.1143
0.0242
0.0079
0.0103
0.0097
0.0096
