hour; S1 (kVA); S2 (kVA); S3 (kVA)
1; 1574,85; 1642,04; 1758,27
2; 1528,6; 1589,91; 1696,29
3; 1514,27; 1572,43; 1676,82
4; 1488,77; 1544,79; 1648,4
5; 1483,93; 1539,64; 1642,32
6; 1449,93; 1506,89; 1614,04
7; 1350,39; 1410,6; 1528,3
8; 1284,32; 1350,63; 1486,81
9; 1295,43; 1367,57; 1522,64
10; 1297,73; 1379,09; 1546,42
11; 1346,41; 1428,88; 1609,45
12; 1390,66; 1476,98; 1668,33
13; 1420,14; 1506,48; 1696,77
14; 1480,67; 1567,21; 1756,16
15; 1590,34; 1680,54; 1869,72
16; 1754,54; 1856,22; 2045,04
17; 1918,64; 2019,36; 2207,92
18; 1929,21; 2024,29; 2206,47
19; 1897,42; 1992,5; 2167,92
20; 1868,67; 1960,89; 2135,22
21; 1818,88; 1903,9; 2077,87
22; 1818,91; 1903,93; 2077,88
23; 1754,89; 1838,05; 1998,02
24; 1670,45; 1744,81; 1883,27
